[06-Oct-2013 19:16:18 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\Listpro.php on line 18
[06-Oct-2013 23:00:33 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\test.php on line 50
[06-Oct-2013 23:00:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\test.php on line 50
[06-Oct-2013 23:01:09 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\test.php on line 61
[06-Oct-2013 23:15:02 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\test.php on line 35
[07-Oct-2013 00:20:49 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING) in D:\PHP\TWAMPd\htdocs\test.php on line 62
[07-Oct-2013 07:24:09 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 40
[07-Oct-2013 07:24:41 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 40
[07-Oct-2013 07:37:53 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 40
[07-Oct-2013 07:47:36 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 38
[07-Oct-2013 07:47:59 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 38
[07-Oct-2013 07:49:24 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 39
[07-Oct-2013 07:49:46 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 39
[07-Oct-2013 08:22:14 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'elseif' (T_ELSEIF) in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 43
[07-Oct-2013 12:08:55 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControl.php on line 106
[07-Oct-2013 12:12:13 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControl.php on line 106
[07-Oct-2013 13:05:35 Asia/Taipei] PHP Parse error:  syntax error, unexpected '192.168' (T_DNUMBER), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 344
[07-Oct-2013 20:01:54 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 410
[07-Oct-2013 21:50:44 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=' in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 261
[07-Oct-2013 21:50:58 Asia/Taipei] PHP Parse error:  syntax error, unexpected ']' in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 261
[08-Oct-2013 06:38:03 Asia/Taipei] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in D:\PHP\TWAMPd\htdocs\checklogin.php on line 26
[08-Oct-2013 06:43:34 Asia/Taipei] PHP Fatal error:  Call to undefined function session_register() in D:\PHP\TWAMPd\htdocs\checklogin.php on line 33
[08-Oct-2013 06:52:23 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"myusername"' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in D:\PHP\TWAMPd\htdocs\checklogin.php on line 33
[08-Oct-2013 06:52:37 Asia/Taipei] PHP Fatal error:  Call to undefined function session_is_registered() in D:\PHP\TWAMPd\htdocs\login_success.php on line 5
[08-Oct-2013 06:54:27 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')', expecting :: (T_PAAMAYIM_NEKUDOTAYIM) in D:\PHP\TWAMPd\htdocs\login_success.php on line 6
